Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2014-01-01 00:00:00";1057;23,6;31,3;67,6;56;
"2014-01-02 00:00:00";1030;34,0;37,0;89,1;60;
"2014-01-03 00:00:00";1319;95,9;49,1;196,1;69;
"2014-01-04 00:00:00";1001;37,8;36,9;94,8;46;
"2014-01-05 00:00:00";1155;42,6;37,3;102,6;39;
"2014-01-06 00:00:00";1624;100,9;49,6;204,2;65;
"2014-01-07 00:00:00";1005;46,9;31,9;103,8;38;
"2014-01-08 00:00:00";939;36,6;28,0;84,2;27;
"2014-01-09 00:00:00";708;32,8;29,8;80,1;23;
"2014-01-10 00:00:00";430;36,3;29,4;85,0;17;
"2014-01-11 00:00:00";714;64,3;45,2;143,8;32;
"2014-01-12 00:00:00";304;8,4;17,8;30,7;17;
"2014-01-13 00:00:00";1266;119,2;54,9;237,6;67;
"2014-01-14 00:00:00";675;39,4;39,7;100,1;46;
"2014-01-15 00:00:00";704;59,9;40,1;132,0;36;
"2014-01-16 00:00:00";781;58,3;36,8;126,2;38;
"2014-01-17 00:00:00";624;49,7;41,3;117,5;31;
"2014-01-18 00:00:00";718;45,1;44,6;113,7;29;8,9
"2014-01-19 00:00:00";595;;;;25;9,0
"2014-01-20 00:00:00";619;;;;24;5,7
"2014-01-21 00:00:00";1033;;;;42;6,4
"2014-01-22 00:00:00";685;;;;19;9,3
"2014-01-23 00:00:00";;;;;31;10,8
"2014-01-24 00:00:00";;;;;39;6,3
"2014-01-25 00:00:00";289;;;;27;7,1
"2014-01-26 00:00:00";475;;;;43;7,7
"2014-01-27 00:00:00";733;;;;68;9,0
"2014-01-28 00:00:00";889;;;;85;11,4
"2014-01-29 00:00:00";929;;;;82;7,4
"2014-01-30 00:00:00";893;;;;67;9,0
"2014-01-31 00:00:00";1139;;;;66;5,8
"2014-02-01 00:00:00";1400;;;;117;8,2
"2014-02-02 00:00:00";2261;;;;140;6,4
"2014-02-03 00:00:00";3453;;;;248;7,4
"2014-02-04 00:00:00";1814;;;;125;7,7
"2014-02-05 00:00:00";1699;;;;128;8,7
"2014-02-06 00:00:00";1412;;;;91;
"2014-02-07 00:00:00";959;;;;62;
"2014-02-08 00:00:00";938;36,5;45,4;101,4;45;
"2014-02-09 00:00:00";888;29,6;36,4;81,8;33;
"2014-02-10 00:00:00";620;23,6;31,4;67,6;18;
"2014-02-11 00:00:00";801;28,3;39,6;83,0;28;
"2014-02-12 00:00:00";997;51,1;41,1;119,5;55;
"2014-02-13 00:00:00";967;47,5;40,3;113,1;33;
"2014-02-14 00:00:00";797;22,8;33,0;68,0;29;
"2014-02-15 00:00:00";1047;22,9;36,2;71,3;42;
"2014-02-16 00:00:00";1239;39,5;37,3;97,8;49;
"2014-02-17 00:00:00";833;13,4;33,0;53,5;21;
"2014-02-18 00:00:00";1075;44,3;45,5;113,3;40;
"2014-02-19 00:00:00";1040;35,6;42,4;97,0;53;
"2014-02-20 00:00:00";1308;46,8;40,5;112,3;55;
"2014-02-21 00:00:00";778;26,0;33,0;73,0;51;13,7
